,User,Tweet,Time,url
28,itsasinna_n,"Tapi kan guru juga sebelum jadi guru adalah siswa. Terus nih pas kuliah pun calon guru juga belajar banyak mata kuliah misalnya guru bahasa Inggris pun tetap belajar Ilmu Alamiah Dasar (ini IPA), tetap belajar Matematika Dasar, English For business, Filsafat dll kok 🥺🥺 https://t.co/lKMU05XmjT",2022-09-15 07:38:41+00:00,http://twitter.com/download/android
29,httpshruby,"bangsat gua di paksa ikut lomba b.inggris sama guru indo, mana udh ditulis lagi",2022-09-15 07:37:44+00:00,http://twitter.com/download/android
30,x1oneitgirl,"@Jokitugsfess i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + guru bimbel dijamin nilai baguss, PG start 2k/soal, short essay 4k/soal, long essay start 10k/soal",2022-09-15 07:37:34+00:00,http://twitter.com/download/android
31,SangAjier,@MeganeHunter_ @secgron itu hecker dek bukan guru bahasa inggris,2022-09-15 06:57:07+00:00,http://twitter.com/download/android
32,ch_elsyy,pelajaran b Indo yg nunggu guru b Inggris🙂🙂 https://t.co/szIJd0rKIw,2022-09-15 06:56:13+00:00,http://twitter.com/download/android
33,Nvjtsy_Hp_choco,"#nthpstory
Hi guys aku mau cerita, hari ini aku kena marah guru huhu😭 aku dimarahin madam soalnya aku ngerjain b Inggris  di jam mtk
Pingin menghilang [cry]",2022-09-15 06:47:43+00:00,http://twitter.com/download/android
34,MrSoviettt,@MeganeHunter_ @secgron Guru b.inggris gua pun yg dari iowa grammer mirip dia,2022-09-15 06:22:54+00:00,http://twitter.com/download/android
35,x1oneitgirl,"@nkimmingyu i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + guru bimbel dijamin nilai baguss, PG start 2k/soal, short essay 4k/soal, long essay start 10k/soal",2022-09-15 05:31:12+00:00,http://twitter.com/download/android
36,donthavefriend_,"Perasaan selama aku hidup cuma guru bahasa Inggris yg pernah tanya gini ""how are today? """,2022-09-15 05:06:57+00:00,http://twitter.com/download/android
37,nwhpoetri,Seumur2 kyknya cuma guru bahasa inggris yg pernah nanyain “how are you today”,2022-09-15 04:28:17+00:00,http://twitter.com/download/iphone
38,ryeohe,"GANTI GURU INGGRIS MINAT BS GAKSI ANJRITTTT KALO GINI CARANYA NILAI W YG TADINYA 93, SEM 5 BS JADI 87 🤣🤣🤣🤣🤣🤣 LAWAKKKK LOOOOOOOOOOO",2022-09-15 03:54:15+00:00,http://twitter.com/download/android
39,FulbrightID,"Kesepakatan ini membuka jalan bagi dosen 🇺🇸 mengajar di univ di 🇮🇩 (U.S. Fulbright Scholars), &amp; mahasiswa 🇺🇸 mengajar bhs Inggris di sekolah menengah 🇮🇩bersama guru bhs Inggris Indonesia(U.S. Fulbright Student English Teaching Assistants) &amp; program Fulbright lainnya utk warga 🇮🇩.",2022-09-15 03:34:50+00:00,https://mobile.twitter.com
40,x1oneitgirl,@Jokitugsfess i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + guru bimbel dijamin nilai baguss,2022-09-15 03:30:55+00:00,http://twitter.com/download/android
41,tandakrenik,"@outer_cosmo ㅤ
ㅤ
Halo! Saya Adya, guru bahasa inggris. Kalau boleh tahu, kamu mengajar tari apa?
ㅤ
ㅤ",2022-09-15 03:19:21+00:00,http://twitter.com/download/android
42,tenoismoko,tapipak bjorka kan hacker .. bukan guru bahasa inggris https://t.co/N9hIMsB9xw,2022-09-15 02:45:01+00:00,https://mobile.twitter.com
43,dumpmeowww,tekanan batin sama guru bahasa Inggris kontollllll ngentottttt anjing pepek kontol anjing,2022-09-15 02:11:59+00:00,http://twitter.com/download/android
44,ConanThing,jodie starling pernah menjadi guru bahasa inggris di SMU teitan.,2022-09-15 01:18:50+00:00,http://twittbot.net/
45,ibnuardie,"Dulu belajar materi ini di SD. 
Dan ada jokes guru bahas inggris waktu itu, 
kalo jam rusak ? o'clock o'clock 😭😭😭😭

jokes bapack-bapack emang yee https://t.co/IzKvhJ0pyw",2022-09-15 01:07:33+00:00,http://twitter.com/download/iphone
46,diantaesaa,@pakantono konon katanya guru les bahasa inggris beliau adalah londo kampung,2022-09-15 00:17:41+00:00,http://twitter.com/download/iphone
47,restioktav23,"👧: adek
👧: teh tadi kan aku ada pelajaran b.inggris trs disuruh baca conversetion. Aku bacanya headache (hedeik), trs kata guru ku salah yg bener (hid echi) 

Gue langsung ngikik, geli sendiri. YaAllah hid echi ceunahhh 😂😂😂",2022-09-14 23:35:31+00:00,http://twitter.com/download/android
48,winteovibe,guru inggris gue perempuan semua wkwkwk tapi guru inggris sd gue CANTIK BANGET WOEYYY WKWKWK https://t.co/3KknBI8e62,2022-09-14 23:00:34+00:00,http://twitter.com/download/android
49,sepombopppp,@blablabla536x Bjorka bukan guru bahasa inggris kak,2022-09-14 22:28:05+00:00,http://twitter.com/download/iphone
50,GuruPrivatMaros,Butuh Guru Privat BAHASA INGGRIS ? Silahkan Hubungi GuruPrivatMaros Telp/WA : 085242353833 PIN BB : 55178187,2022-09-14 19:16:06+00:00,http://twittbot.net/
51,bagoeshk,ternyata selama ini cuma guru bahasa inggris yg bilang “how are u today?”,2022-09-14 17:38:13+00:00,http://twitter.com/download/iphone
52,Andialim007,"*di kelas* bu, mau tanya bhs indonesianya ""i dont know"" apa? | saya tidak tau | kok nggak tau bu? katanya guru b.inggris | -_-",2022-09-14 17:36:58+00:00,http://twittbot.net/
